year,location,mgt_unit,focus,secondary_focus,event_name,Title or additional note,duration,impact,type,general_type,dd_mashup,salafsky2019,cook2012table3,hauser_type,groups,citation,funding
1970,Wyperfeld,,rabbit,,surveys >,,16, ,biannual surveys >,research,population monitoring,basic data,population monitoring,outcomes,,[@shepherd1978],
1972,Wyperfeld,WNP - Central,kangaroo,,annual surveys >,,2,,annual surveys >,monitoring,population monitoring,basic data,population monitoring,surveillance,,,
1972,Mallee Parks,,livestock,,"LCC recommends reduction in livestock grazing, add semi-arid woodlands to Hattah-Kulkyne NP",LCC Mallee 1,5,H,"LCC 1 recs: reduce livestock, add semi-arid woodlands to parks",management,governance,,legislation,,,[@lcc1974],Victoria
1975,Wyperfeld,WNP - Central,kangaroo,,annual surveys >,,13,,annual surveys >,monitoring,population monitoring,basic data,population monitoring,surveillance,,,
1977,Hattah-Kulkyne,,livestock,,Livestock grazing ceases,,,H,destocking,management,intervention,,,,,,
1980,Hattah-Kulkyne,Hattah-Kulkyne,rabbit,,Rabbit control at Hattah,,,,intervention actions >,management,intervention,,,,,,
1980,Hattah-Kulkyne,,rabbit,,Plan for rabbit control in Hattah-Kulkyne National Park and Murray-Kulkyne Park in 1980–1985,,,,plan,management,management plan,,mgt plan specific,,,[@williams1980],
1980,Hattah-Kulkyne,,semi-arid woodlands,,Vegetation monitoring program,,7,,annual vegetation surveys >,monitoring,primary studies,primary studies,research,,,[@mueck1980],
1983,Hattah-Kulkyne,Hattah-Kulkyne,kangaroo,,annual surveys >,,38,H,annual surveys >,monitoring,population monitoring,basic data,population monitoring,surveillance,,,
1983,Wyperfeld,,rabbit,,European rabbit flea biocontrol improves myxoma transmission,"Studies of a wild rabbit, <i>Oryctolagus cuniculus</i> [L.] population in the Mallee region of Victoria, following the release of the European Rabbit Flea, <i>Spilopsyllus cuniculi </i>[Dale]",3,,intervention,management,primary studies,primary studies,research,,,[@shepherd1983],
1984,Hattah-Kulkyne,,kangaroo,,Adverse public reaction to population control actions,"Failed mustering and translocation attempt, unpublicised cull",,H,population control,management,intervention,,,,,,
1984,Hattah-Kulkyne,,kangaroo,,70 ha Mournpall exclosure enables herbivore density contrast studies,,,H,fence,management,intervention,,,,,,
1984,Hattah-Kulkyne,,rabbit,,Plan for rabbit control works in Hattah-Kulkyne National Park 1984–1989,,,,plan,management,management plan,,mgt plan specific,,,[@young1984],
1985,Mallee Parks,,livestock,,LCC recommends livestock grazing licenses be terminated indefinitely,"LCC Mallee 2: Eliminate livestock grazing, new NPs",4,H,destocking,management,governance,,legislation,,,[@lcc1989],
1985,Mallee Parks,,semi-arid woodlands,,LCC Mallee review commissions major new vegetation survey,LCC Mallee 2 commissions major veg.n survey,3,,inventory,research,inventory,basic data,database,,,,
1986,Hattah-Kulkyne,,kangaroo,,A park with a kangaroo problem,,,,opinion paper,research,review/synth/dss,synthesis/dss,research,,,[@cheal1986],
1987,Mallee Parks,,kangaroo,,"Census of WGK, 23000 est. in Hattah-Kulkyne",Hattah-Kulkyne highest densities in Australia,,,survey,management,population monitoring,basic data,population monitoring,,,,
1987,Hattah-Kulkyne,,semi-arid woodlands,,Revegetation trial in Mournpall Block exclosure,,2,,revegetation,management,intervention,,,,,,
1987,Hattah-Kulkyne,,kangaroo,,Model of diet switching behaviour at low grassy biomass,"Diet Selection and Demography of the Western Grey Kangaroo Macropus fuliginosus melanops Desmarest in Hattah-Kulkyne National Park, Victoria",-4,H,herbivore foraging,research,primary studies,primary studies,research,,,[@norbury1987],
1988,Hattah-Kulkyne,,kangaroo,,Ecology and Management of western grey kangaroos at Hatt,,,,decision analysis,research,review/synth/dss,synthesis/dss,research,,,[@coulson1988],
1989,Wyperfeld,WNP - Pine Plains,semi-arid woodlands,,The Regeneration Status of \textit{Allocasuarina luehmannii} (R. T. Bak.) L. Johnson (Buloke) at Wyperfeld National Park,,,,reproductive ecology,research,primary studies,primary studies,research,,,[@castle1989],
1990,Murray Sunset,,rabbit,,surveys >,,,,,monitoring,population monitoring,basic data,population monitoring,,,,
1990,Hattah-Kulkyne,,kangaroo,,Restoring the Balance Kangaroo Control Plan,"“Restoring the Balance” released, communicating case for lethal control;  with Kangaroo and Vegetation Management Plans",,H,management plan,planning,management plan,,mgt plan specific,,,[@dce1990],
1990,Murray Sunset,,livestock,,Livestock grazing ceases,Livestock grazing ceases,,H,destocking,management,intervention,,,,,,
1990,Wyperfeld,,livestock,,Livestock grazing ceases,Livestock grazing ceases,,H,destocking,management,intervention,,,,,,
1990,Hattah-Kulkyne,,semi-arid woodlands,,Hattah-Kulkyne Vegetation Management Plan,,,,management plan,planning,management plan,,mgt plan,,,[@tonkinson1990],
1990,Wyperfeld,,semi-arid woodlands,,The Regeneration Biology of Allocasuarina luehmannii (R. T. Baker) L. Johnson at Wyperfeld National Park,The Regeneration Biology of <i>Allocasuarina luehmannii</i> (R. T. Baker) L. Johnson at Wyperfeld National Park,,,grad research,research,primary studies,primary studies,research,,,[@raymond1990],
1991,Wyperfeld,WNP - Central,kangaroo,,annual surveys >,,30,,annual surveys >,monitoring,population monitoring,basic data,population monitoring,outcomes,,,
1991,Murray Sunset,Murray Sunset,rabbit,,Rabbit Control at Murray Sunset,,30,,intervention actions >,management,intervention,,,,,,
1991,Wyperfeld,,semi-arid woodlands,,Mallee Parks grazing monitoring project,,7,,vegetation monitoring,monitoring,primary studies,primary studies,research,,,[@sandell2002],
1991,Murray Sunset,,semi-arid woodlands,,Mallee Parks grazing monitoring project,,7,,vegetation monitoring,monitoring,primary studies,primary studies,research,,,[@sandell2002],
1992,Murray Sunset,Murray Sunset,kangaroo,,Kangaroo monitoring commences,,29,,annual surveys >,monitoring,population monitoring,basic data,population monitoring,,,,
1993,Wyperfeld,WNP - Pine Plains,kangaroo,,Kangaroo monitoring commences - Pine Plains,,28,,annual surveys >,monitoring,population monitoring,basic data,population monitoring,,wnp kangaroo,,
1993,Hattah-Kulkyne,,rabbit,,surveys >,,28,,,monitoring,population monitoring,basic data,population monitoring,,,,
